Country,GDP per capita,Life satisfaction
Russia,9054.914,6.0
Turkey,9437.372,5.6
Hungary,12239.893999999998,4.9
Poland,12495.333999999999,5.8
Slovak Republic,15991.736,6.1
Estonia,17288.083,5.6
Greece,18064.288,4.8
Portugal,19121.592,5.1
Slovenia,20732.482,5.7
Spain,25864.721,6.5
Korea,27195.197,5.8
Italy,29866.581000000002,6.0
Japan,32485.545,5.9
Israel,35343.336,7.4
New Zealand,37044.891,7.3
France,37675.006,6.5
Belgium,40106.632000000005,6.9
Germany,40996.511,7.0
Finland,41973.988,7.4
Canada,43331.960999999996,7.3
Netherlands,43603.115,7.3
Austria,43724.030999999995,6.9
United Kingdom,43770.687999999995,6.8
Sweden,49866.265999999996,7.2
Iceland,50854.583,7.5
Australia,50961.865,7.3
Ireland,51350.744000000006,7.0
Denmark,52114.165,7.5
United States,55805.204000000005,7.2
